id,flight_number,airline,airline_code,airline_color,origin_code,dest_code,departure_time,arrival_time,duration_minutes,stops,stopover_code,price,cabin_class,available_seats,total_passengers,aircraft,terminal,gate
1,6E-196,IndiGo,6E,#001b94,DEL,BOM,2026-08-08 02:20:34,2026-08-08 04:36:34,136,0,,5995,Economy,3,163,Airbus A320neo,Terminal 1,Gate 11
2,IX-450,Air India Express,IX,#f26522,DEL,BOM,2026-08-06 07:05:34,2026-08-06 09:05:34,120,0,,7354,Economy,29,124,Boeing 737-800,Terminal 3,Gate 6
3,AI-401,Air India,AI,#ed1b24,DEL,BOM,2026-08-13 00:50:34,2026-08-13 03:10:34,140,0,,10300,Premium Economy,19,176,Boeing 737-800,Terminal 3,Gate 2
4,SG-556,SpiceJet,SG,#e60000,DEL,BOM,2026-08-02 02:20:34,2026-08-02 03:37:34,77,0,,12530,Premium Economy,21,179,Airbus A320neo,Terminal 3,Gate 17
5,9I-395,Alliance Air,9I,#0083c9,DEL,BOM,2026-07-31 19:35:34,2026-07-31 21:54:34,139,0,,33343,Business Class,31,132,Airbus A320neo,Terminal 1,Gate 7
6,6E-367,IndiGo,6E,#001b94,DEL,BOM,2026-08-08 04:05:34,2026-08-08 05:59:34,114,0,,24028,Business Class,20,157,ATR 72-600,Terminal 2,Gate 4
7,UK-596,Vistara,UK,#4b164c,DEL,BOM,2026-08-12 23:50:34,2026-08-13 01:03:34,73,0,,51673,First Class,11,175,Airbus A320neo,Terminal 3,Gate 17
8,AI-260,Air India,AI,#ed1b24,DEL,BOM,2026-08-07 08:05:34,2026-08-07 10:33:34,148,0,,49664,First Class,7,149,Airbus A320neo,Terminal 2,Gate 24
9,9I-184,Alliance Air,9I,#0083c9,DEL,BLR,2026-08-05 09:35:34,2026-08-05 11:41:34,126,0,,6644,Economy,34,136,Airbus A320neo,Terminal 3,Gate 8
10,9I-938,Alliance Air,9I,#0083c9,DEL,BLR,2026-08-08 22:35:34,2026-08-09 00:48:34,133,0,,4681,Economy,14,121,ATR 72-600,Terminal 3,Gate 21
11,UK-113,Vistara,UK,#4b164c,DEL,BLR,2026-08-14 02:20:34,2026-08-14 03:33:34,73,0,,13733,Premium Economy,8,132,ATR 72-600,Terminal 2,Gate 6
12,9I-911,Alliance Air,9I,#0083c9,DEL,BLR,2026-08-08 09:50:34,2026-08-08 12:16:34,146,0,,15475,Premium Economy,37,163,Boeing 737-800,Terminal 1,Gate 19
13,QP-434,Akasa Air,QP,#ff5d00,DEL,BLR,2026-08-15 10:35:34,2026-08-15 11:47:34,72,0,,32542,Business Class,23,150,ATR 72-600,Terminal 3,Gate 6
14,AI-457,Air India,AI,#ed1b24,DEL,BLR,2026-08-15 00:50:34,2026-08-15 02:35:34,105,0,,30183,Business Class,8,170,ATR 72-600,Terminal 2,Gate 19
15,UK-252,Vistara,UK,#4b164c,DEL,BLR,2026-07-31 23:05:34,2026-08-01 02:10:34,185,0,,58489,First Class,12,132,Airbus A320neo,Terminal 2,Gate 12
16,6E-833,IndiGo,6E,#001b94,DEL,BLR,2026-08-06 09:20:34,2026-08-06 11:20:34,120,0,,53684,First Class,10,153,Airbus A320neo,Terminal 2,Gate 14
17,6E-371,IndiGo,6E,#001b94,DEL,HYD,2026-08-14 11:20:34,2026-08-14 12:54:34,94,0,,5639,Economy,34,179,ATR 72-600,Terminal 3,Gate 21
18,6E-655,IndiGo,6E,#001b94,DEL,HYD,2026-08-06 01:35:34,2026-08-06 03:16:34,101,0,,3905,Economy,29,138,Airbus A320neo,Terminal 1,Gate 12
19,AI-226,Air India,AI,#ed1b24,DEL,HYD,2026-08-14 18:20:34,2026-08-14 20:29:34,129,0,,9830,Premium Economy,9,141,Airbus A320neo,Terminal 3,Gate 14
20,QP-329,Akasa Air,QP,#ff5d00,DEL,HYD,2026-08-03 07:05:34,2026-08-03 08:51:34,106,0,,13260,Premium Economy,31,142,Airbus A321neo,Terminal 1,Gate 1
21,IX-116,Air India Express,IX,#f26522,DEL,HYD,2026-08-13 23:20:34,2026-08-14 01:07:34,107,0,,29306,Business Class,23,156,Airbus A320neo,Terminal 1,Gate 4
22,AI-512,Air India,AI,#ed1b24,DEL,HYD,2026-08-07 19:05:34,2026-08-07 20:50:34,105,0,,34943,Business Class,15,127,ATR 72-600,Terminal 2,Gate 7
23,SG-475,SpiceJet,SG,#e60000,DEL,HYD,2026-08-12 02:50:34,2026-08-12 05:27:34,157,0,,64694,First Class,23,140,Airbus A321neo,Terminal 2,Gate 4
24,AI-690,Air India,AI,#ed1b24,DEL,HYD,2026-08-08 08:35:34,2026-08-08 11:12:34,157,0,,53663,First Class,7,151,Airbus A321neo,Terminal 1,Gate 18
25,6E-702,IndiGo,6E,#001b94,DEL,MAA,2026-08-11 05:05:34,2026-08-11 07:02:34,117,0,,2833,Economy,11,146,Airbus A321neo,Terminal 2,Gate 22
26,UK-884,Vistara,UK,#4b164c,DEL,MAA,2026-08-10 06:35:34,2026-08-10 09:37:34,182,0,,3079,Economy,5,137,Boeing 737-800,Terminal 1,Gate 16
27,QP-721,Akasa Air,QP,#ff5d00,DEL,MAA,2026-08-14 08:20:34,2026-08-14 10:42:34,142,1,TIR,9463,Premium Economy,36,163,Airbus A321neo,Terminal 1,Gate 17
28,9I-817,Alliance Air,9I,#0083c9,DEL,MAA,2026-08-04 04:50:34,2026-08-04 07:45:34,175,0,,11219,Premium Economy,7,128,Airbus A321neo,Terminal 3,Gate 2
29,UK-527,Vistara,UK,#4b164c,DEL,MAA,2026-08-10 19:35:34,2026-08-10 22:42:34,187,0,,24613,Business Class,38,126,ATR 72-600,Terminal 1,Gate 11
30,UK-276,Vistara,UK,#4b164c,DEL,MAA,2026-08-14 04:35:34,2026-08-14 06:05:34,90,0,,28644,Business Class,22,155,Boeing 737-800,Terminal 1,Gate 21
31,SG-868,SpiceJet,SG,#e60000,DEL,MAA,2026-08-14 02:35:34,2026-08-14 05:08:34,153,0,,55455,First Class,4,120,Airbus A321neo,Terminal 2,Gate 23
32,9I-402,Alliance Air,9I,#0083c9,DEL,MAA,2026-08-11 08:35:34,2026-08-11 11:37:34,182,1,HSR,66839,First Class,29,151,Airbus A321neo,Terminal 1,Gate 24
33,IX-777,Air India Express,IX,#f26522,DEL,CCU,2026-08-08 19:20:34,2026-08-08 22:28:34,188,0,,4770,Economy,31,122,ATR 72-600,Terminal 1,Gate 6
34,AI-903,Air India,AI,#ed1b24,DEL,CCU,2026-08-09 23:50:34,2026-08-10 01:50:34,120,0,,6156,Economy,11,172,Airbus A321neo,Terminal 2,Gate 17
35,6E-601,IndiGo,6E,#001b94,DEL,CCU,2026-08-01 20:05:34,2026-08-01 22:47:34,162,0,,11750,Premium Economy,31,176,Boeing 737-800,Terminal 1,Gate 7
36,AI-881,Air India,AI,#ed1b24,DEL,CCU,2026-08-03 02:35:34,2026-08-03 03:47:34,72,0,,11296,Premium Economy,13,156,Boeing 737 MAX 8,Terminal 2,Gate 15
37,IX-416,Air India Express,IX,#f26522,DEL,CCU,2026-08-10 18:05:34,2026-08-10 20:49:34,164,0,,22608,Business Class,6,125,Boeing 737-800,Terminal 1,Gate 14
38,QP-232,Akasa Air,QP,#ff5d00,DEL,CCU,2026-08-06 21:50:34,2026-08-06 23:11:34,81,0,,22449,Business Class,22,155,Airbus A321neo,Terminal 1,Gate 21
39,AI-128,Air India,AI,#ed1b24,DEL,CCU,2026-08-07 09:35:34,2026-08-07 11:36:34,121,0,,43779,First Class,38,160,Boeing 737 MAX 8,Terminal 3,Gate 7
40,QP-671,Akasa Air,QP,#ff5d00,DEL,CCU,2026-08-07 01:50:34,2026-08-07 03:50:34,120,1,TIR,60369,First Class,14,173,Airbus A321neo,Terminal 2,Gate 24
41,UK-733,Vistara,UK,#4b164c,DEL,AMD,2026-08-02 09:35:34,2026-08-02 11:40:34,125,1,VZY,7410,Economy,37,164,ATR 72-600,Terminal 3,Gate 16
42,SG-646,SpiceJet,SG,#e60000,DEL,AMD,2026-08-11 20:05:34,2026-08-11 22:22:34,137,0,,4185,Economy,20,137,Boeing 737-800,Terminal 3,Gate 16
43,UK-786,Vistara,UK,#4b164c,DEL,AMD,2026-08-13 04:35:34,2026-08-13 06:18:34,103,0,,11915,Premium Economy,12,139,Boeing 737 MAX 8,Terminal 2,Gate 3
44,SG-734,SpiceJet,SG,#e60000,DEL,AMD,2026-08-11 11:20:34,2026-08-11 12:46:34,86,0,,13297,Premium Economy,33,144,Boeing 737-800,Terminal 2,Gate 10
45,SG-645,SpiceJet,SG,#e60000,DEL,AMD,2026-08-14 07:35:34,2026-08-14 10:24:34,169,0,,31487,Business Class,29,143,ATR 72-600,Terminal 1,Gate 7
46,9I-119,Alliance Air,9I,#0083c9,DEL,AMD,2026-08-15 00:35:34,2026-08-15 02:34:34,119,0,,34439,Business Class,32,158,Boeing 737 MAX 8,Terminal 3,Gate 21
47,IX-176,Air India Express,IX,#f26522,DEL,AMD,2026-08-04 02:50:34,2026-08-04 05:01:34,131,1,KQH,50336,First Class,18,178,Airbus A320neo,Terminal 3,Gate 18
48,SG-799,SpiceJet,SG,#e60000,DEL,AMD,2026-08-01 21:20:34,2026-08-02 00:08:34,168,0,,56662,First Class,24,121,Boeing 737 MAX 8,Terminal 2,Gate 12
49,IX-764,Air India Express,IX,#f26522,DEL,GOI,2026-08-03 19:05:34,2026-08-03 20:37:34,92,1,RJA,4061,Economy,3,165,Boeing 737 MAX 8,Terminal 2,Gate 24
50,AI-306,Air India,AI,#ed1b24,DEL,GOI,2026-08-07 22:05:34,2026-08-07 23:13:34,68,1,CFH,7761,Economy,19,142,Boeing 737 MAX 8,Terminal 2,Gate 10
51,AI-766,Air India,AI,#ed1b24,DEL,GOI,2026-08-04 18:20:34,2026-08-04 20:25:34,125,0,,13036,Premium Economy,31,125,ATR 72-600,Terminal 3,Gate 15
52,SG-342,SpiceJet,SG,#e60000,DEL,GOI,2026-08-10 06:20:34,2026-08-10 07:44:34,84,1,BLT,12148,Premium Economy,21,131,Boeing 737-800,Terminal 1,Gate 6
53,AI-584,Air India,AI,#ed1b24,DEL,GOI,2026-08-08 17:35:34,2026-08-08 20:33:34,178,0,,20607,Business Class,22,147,Boeing 737-800,Terminal 1,Gate 6
54,IX-967,Air India Express,IX,#f26522,DEL,GOI,2026-08-12 09:50:34,2026-08-12 12:14:34,144,0,,34224,Business Class,12,177,Boeing 737 MAX 8,Terminal 1,Gate 12
55,IX-562,Air India Express,IX,#f26522,DEL,GOI,2026-08-06 04:35:34,2026-08-06 07:12:34,157,0,,52486,First Class,18,173,Airbus A321neo,Terminal 2,Gate 14
56,UK-261,Vistara,UK,#4b164c,DEL,GOI,2026-08-10 20:35:34,2026-08-10 21:47:34,72,1,LUD,54026,First Class,22,160,Airbus A320neo,Terminal 3,Gate 8
57,IX-908,Air India Express,IX,#f26522,DEL,GOX,2026-08-07 08:35:34,2026-08-07 10:27:34,112,0,,3662,Economy,25,133,Boeing 737-800,Terminal 3,Gate 22
58,IX-535,Air India Express,IX,#f26522,DEL,GOX,2026-08-07 10:35:34,2026-08-07 12:15:34,100,0,,7625,Economy,19,178,Boeing 737 MAX 8,Terminal 3,Gate 20
59,6E-716,IndiGo,6E,#001b94,DEL,GOX,2026-08-11 07:05:34,2026-08-11 09:58:34,173,0,,11182,Premium Economy,8,122,Boeing 737-800,Terminal 3,Gate 2
60,IX-408,Air India Express,IX,#f26522,DEL,GOX,2026-08-04 09:35:34,2026-08-04 11:47:34,132,0,,10738,Premium Economy,29,171,ATR 72-600,Terminal 2,Gate 9
61,SG-409,SpiceJet,SG,#e60000,DEL,GOX,2026-08-10 23:20:34,2026-08-11 00:43:34,83,1,AYJ,22072,Business Class,2,165,Boeing 737-800,Terminal 1,Gate 15
62,IX-405,Air India Express,IX,#f26522,DEL,GOX,2026-08-04 08:50:34,2026-08-04 11:24:34,154,0,,31267,Business Class,28,174,Airbus A320neo,Terminal 2,Gate 23
63,6E-538,IndiGo,6E,#001b94,DEL,GOX,2026-08-12 11:20:34,2026-08-12 14:12:34,172,0,,60296,First Class,27,175,Boeing 737 MAX 8,Terminal 2,Gate 19
64,SG-809,SpiceJet,SG,#e60000,DEL,GOX,2026-08-13 01:50:34,2026-08-13 03:52:34,122,0,,54434,First Class,13,130,Airbus A321neo,Terminal 2,Gate 5
65,AI-205,Air India,AI,#ed1b24,DEL,PNQ,2026-08-13 17:50:34,2026-08-13 19:34:34,104,0,,4286,Economy,31,162,Boeing 737 MAX 8,Terminal 2,Gate 4
66,QP-451,Akasa Air,QP,#ff5d00,DEL,PNQ,2026-08-05 22:50:34,2026-08-06 01:02:34,132,0,,3057,Economy,21,120,Airbus A320neo,Terminal 1,Gate 15
67,9I-763,Alliance Air,9I,#0083c9,DEL,PNQ,2026-08-03 11:20:34,2026-08-03 13:30:34,130,0,,11569,Premium Economy,21,180,ATR 72-600,Terminal 3,Gate 14
68,UK-799,Vistara,UK,#4b164c,DEL,PNQ,2026-08-15 08:20:34,2026-08-15 09:35:34,75,0,,14940,Premium Economy,33,138,ATR 72-600,Terminal 2,Gate 14
69,QP-334,Akasa Air,QP,#ff5d00,DEL,PNQ,2026-08-09 04:35:34,2026-08-09 06:28:34,113,1,HZD,31166,Business Class,32,146,Boeing 737 MAX 8,Terminal 3,Gate 13
70,9I-219,Alliance Air,9I,#0083c9,DEL,PNQ,2026-08-06 23:20:34,2026-08-07 01:10:34,110,1,SRA,28169,Business Class,21,146,Airbus A320neo,Terminal 2,Gate 6
71,9I-334,Alliance Air,9I,#0083c9,DEL,PNQ,2026-08-14 01:20:34,2026-08-14 02:34:34,74,1,JRG,60303,First Class,6,176,ATR 72-600,Terminal 2,Gate 7
