id,airport_code,name,distance_km,star_rating,guest_score,review_count,price_per_night,has_shuttle,has_breakfast,address
1,DHM,Ginger Airport Hotel (Dharamshala / Kangra Airport),2.3,3,9.7,2289,8599,1,0,"Terminal Road, Near DHM Airport, Dharamshala / Kangra, India"
2,IXW,Novotel Airport Hotel (Jamshedpur Airport),9.3,5,9.2,1650,2730,0,0,"Terminal Road, Near IXW Airport, Jamshedpur, India"
3,PYG,Novotel Airport Hotel (Gangtok / Pakyong (Sikkim) Airport),10.7,4,8.5,3285,5089,0,1,"Terminal Road, Near PYG Airport, Gangtok / Pakyong (Sikkim), India"
4,JSA,Ginger Airport Hotel (Jaisalmer Airport),11.2,3,9.6,2025,6452,0,0,"Terminal Road, Near JSA Airport, Jaisalmer, India"
5,ASL,Novotel Airport Hotel (Asansol Airport),7.3,3,8.3,2148,9990,1,0,"Terminal Road, Near ASL Airport, Asansol, India"
6,HZD,OYO Townhouse Airport (Hazaribagh Airport),13.1,4,8.6,1674,2201,0,1,"Terminal Road, Near HZD Airport, Hazaribagh, India"
7,DGR,Novotel Airport Hotel (Deoghar Airport),11.8,3,8.4,3062,1960,0,1,"Terminal Road, Near DGR Airport, Deoghar, India"
8,PUI,Trident Airport Hotel (Purnea Airport),1.3,4,9.5,3513,6312,1,1,"Terminal Road, Near PUI Airport, Purnea, India"
9,NEEM,Radisson Blu Airport (Neemuch Airport),5.9,5,8.9,1940,10395,1,1,"Terminal Road, Near NEEM Airport, Neemuch, India"
10,VJZ,FabHotel Airport Inn (Bhogapuram / Vizianagaram Airport),13.4,4,8.8,3202,4335,0,0,"Terminal Road, Near VJZ Airport, Bhogapuram / Vizianagaram, India"
11,DGR,Trident Airport Hotel (Deoghar Airport),8.1,4,8.9,527,3943,0,1,"Terminal Road, Near DGR Airport, Deoghar, India"
12,WGC,Taj City Centre (Warangal Airport),2.9,5,8.5,2541,6785,1,1,"Terminal Road, Near WGC Airport, Warangal, India"
13,KAP,FabHotel Airport Inn (Kadapa Airport),13.8,4,9.6,1999,6955,0,0,"Terminal Road, Near KAP Airport, Kadapa, India"
14,SAH,Novotel Airport Hotel (Saharanpur Airport),8.1,5,9.5,3775,11253,0,0,"Terminal Road, Near SAH Airport, Saharanpur, India"
15,HBI,Hyatt Regency Terminal (Itanagar Airport),9.1,4,8.7,342,4498,0,0,"Terminal Road, Near HBI Airport, Itanagar, India"
16,COK,Pride Plaza Hotel (Kochi Airport),14.0,3,9.2,2812,6406,0,0,"Terminal Road, Near COK Airport, Kochi, India"
17,IXD,Lemon Tree Premier (Prayagraj (Allahabad) Airport),13.6,4,9.7,734,12245,0,1,"Terminal Road, Near IXD Airport, Prayagraj (Allahabad), India"
18,IXZ,Pride Plaza Hotel (Port Blair (Andaman) Airport),4.4,3,9.4,1114,3044,1,0,"Terminal Road, Near IXZ Airport, Port Blair (Andaman), India"
19,NPL,ITC Grand Bharat (Narnaul Airport),5.3,5,8.3,288,10947,1,0,"Terminal Road, Near NPL Airport, Narnaul, India"
20,LAT,Pride Plaza Hotel (Latur Airport),4.1,5,9.6,2901,7236,1,0,"Terminal Road, Near LAT Airport, Latur, India"
21,BLT,ITC Grand Bharat (Balurghat Airport),10.1,5,9.4,3597,11718,0,1,"Terminal Road, Near BLT Airport, Balurghat, India"
22,AMD,OYO Townhouse Airport (Ahmedabad Airport),8.1,3,8.4,3798,10075,0,0,"Terminal Road, Near AMD Airport, Ahmedabad, India"
23,KOK,Novotel Airport Hotel (Kokrajhar Airport),8.2,3,8.3,999,3638,0,1,"Terminal Road, Near KOK Airport, Kokrajhar, India"
24,AYJ,Trident Airport Hotel (Ayodhya Airport),8.2,5,8.5,996,10144,0,0,"Terminal Road, Near AYJ Airport, Ayodhya, India"
25,SSE,OYO Townhouse Airport (Solapur Airport),2.3,3,8.6,1107,8417,1,0,"Terminal Road, Near SSE Airport, Solapur, India"
26,DMU,OYO Townhouse Airport (Dimapur Airport),11.1,4,8.4,1430,7511,0,0,"Terminal Road, Near DMU Airport, Dimapur, India"
27,NAG,Novotel Airport Hotel (Nagpur Airport),0.5,3,9.8,2424,12102,1,0,"Terminal Road, Near NAG Airport, Nagpur, India"
